 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16,Area17,Mean17,Area18,Mean18,Area19,Mean19,Area20,Mean20,Area21,Mean21,Area22,Mean22,Area23,Mean23,Area24,Mean24,Area25,Mean25,Area26,Mean26,Area27,Mean27,Area28,Mean28,Area29,Mean29,Area30,Mean30,Area31,Mean31,Area32,Mean32,Area33,Mean33,Area34,Mean34,Area35,Mean35,Area36,Mean36,Area37,Mean37,Area38,Mean38
21,0.216,3281.827,0.058,2932.357,0.957,2823.504,0.075,2991.5,0.037,3034.222,1.053,3339.455,0.062,2649.667,0.037,2626.222,0.254,2916.443,0.137,3016.303,0.233,2613.803,0.258,2977.226,0.154,2884.973,0.57,2646.146,0.125,2561.267,0.262,2144.762,5.933,2560.276,0.582,2550.6,0.241,2262.19,0.354,2094.624,0.037,1694.556,0.845,1887.192,1.136,2605.978,0.233,2278.786,0.603,2161.435,0.391,3329.351,0.229,1747.091,1.385,2060.531,0.062,2147.533,0.037,2081.111,0.37,2378.202,0.137,1744.636,0.47,2303.965,0.337,2046.765,0.037,1738,0.312,1864.693,0.358,2472.081,0.05,2389.917
22,0.216,3134.442,0.058,2839.357,0.957,2678.504,0.075,3241.222,0.037,2578,1.053,3311.735,0.062,2359,0.037,2656.667,0.254,2742.606,0.137,3041.848,0.233,2776.697,0.258,2866.806,0.154,3030.406,0.57,2163.628,0.125,2455.433,0.262,2228.413,5.933,2563.803,0.582,2491.7,0.241,2211.31,0.354,2077.376,0.037,1813.889,0.845,1931.414,1.136,2600.059,0.233,2159.536,0.603,2364.352,0.391,3356.777,0.229,1808.291,1.385,2120.048,0.062,2118.467,0.037,2115.889,0.37,2270.326,0.137,1738.333,0.47,2327.177,0.337,2038.062,0.037,1964.556,0.312,2194.96,0.358,2394.128,0.05,2431.583
23,0.216,3151.981,0.058,2696.214,0.957,2721.83,0.075,2830.889,0.037,2709.222,1.053,3413.352,0.062,2812.667,0.037,2664.556,0.254,2675.131,0.137,2997.364,0.233,2883.107,0.258,2778.5,0.154,2990.838,0.57,2413.321,0.125,2393.533,0.262,2184.159,5.933,2591.691,0.582,2509.386,0.241,2307.259,0.354,2057.682,0.037,1801.556,0.845,1927.064,1.136,2911.963,0.233,2346.089,0.603,2254.159,0.391,3055.681,0.229,1801.691,1.385,2341.496,0.062,1998.933,0.037,2021.556,0.37,2327.899,0.137,1663.03,0.47,2538.168,0.337,1939.889,0.037,1791.889,0.312,2093.76,0.358,2344.233,0.05,2203.5
24,0.216,3057.481,0.058,2736.643,0.957,2656.717,0.075,2881.444,0.037,3209.222,1.053,3340.577,0.062,2796.133,0.037,2603.889,0.254,2604.18,0.137,2869.364,0.233,2978.625,0.258,2711.629,0.154,3104.811,0.57,2538.139,0.125,2238.433,0.262,2059.524,5.933,2655.939,0.582,2666.779,0.241,2377.896,0.354,2157.165,0.037,1754.333,0.845,2018.374,1.136,2892.531,0.233,2236.053,0.603,2315.738,0.391,2850.926,0.229,1849.146,1.385,2353.318,0.062,2026.667,0.037,1923.667,0.37,2212.292,0.137,1812.697,0.47,2611.504,0.337,1980.457,0.037,1809.556,0.312,2161.427,0.358,2535.884,0.05,2374.333
25,0.216,3035.308,0.058,3071.214,0.957,2746.735,0.075,3001.778,0.037,3285,1.053,3282,0.062,2609.4,0.037,2665,0.254,2869.508,0.137,2969.939,0.233,2922.928,0.258,2713.016,0.154,2907.459,0.57,2479.905,0.125,2224,0.262,2194.476,5.933,2715.928,0.582,2701.993,0.241,2100.604,0.354,2067.612,0.037,1860.556,0.845,1944.759,1.136,2856.106,0.233,2326.214,0.603,2306.524,0.391,2934.426,0.229,1740.255,1.385,2374.589,0.062,1957.467,0.037,2023.889,0.37,2032.405,0.137,1873.818,0.47,2372.867,0.337,2176.099,0.037,1725.556,0.312,2140.133,0.358,2453.105,0.05,2246.583
26,0.216,3227.789,0.058,2971.072,0.957,2656.691,0.075,3100.889,0.037,3299,1.053,3196.028,0.062,3113.733,0.037,2422.889,0.254,2805.115,0.137,2728.455,0.233,2940.697,0.258,2775.274,0.154,3030.027,0.57,2575.934,0.125,2352.3,0.262,2407.333,5.933,2677.791,0.582,2707.936,0.241,2178.086,0.354,2029.153,0.037,1879.778,0.845,2021.877,1.136,2860.304,0.233,2429.303,0.603,2287.503,0.391,3115.766,0.229,1836.745,1.385,2220.375,0.062,2190.2,0.037,2182.556,0.37,2109.978,0.137,1843.303,0.47,2239.319,0.337,2235.309,0.037,1750.556,0.312,2076.6,0.358,2534.349,0.05,2245.083
27,0.216,3136.692,0.058,2842.143,0.957,2672.309,0.075,3188.722,0.037,3659.111,1.053,3224.016,0.062,3072.267,0.037,2609.889,0.254,2892.656,0.137,2803.394,0.233,2984.125,0.258,2637.113,0.154,2944.784,0.57,2672.066,0.125,2335.1,0.262,2322.635,5.933,2724.806,0.582,2599.764,0.241,2352.138,0.354,2082.047,0.037,1973.111,0.845,1976.724,1.136,2911.179,0.233,2440.143,0.603,2400.883,0.391,3109.202,0.229,1819.745,1.385,2270.541,0.062,2227.733,0.037,2045.333,0.37,2211.888,0.137,1825.727,0.47,2498.531,0.337,2238.173,0.037,1692.333,0.312,2196.267,0.358,2497.163,0.05,2596.583
28,0.216,3092.942,0.058,2749.572,0.957,2756.939,0.075,2781.556,0.037,3331.333,1.053,3209.968,0.062,3198.8,0.037,2432.444,0.254,3008.639,0.137,2835.848,0.233,2948.643,0.258,2858.774,0.154,2926.297,0.57,2674.401,0.125,2333.033,0.262,2267.127,5.933,2685.186,0.582,2610.236,0.241,2105.034,0.354,2055.235,0.037,1965.667,0.845,1968.32,1.136,2774.059,0.233,2452.982,0.603,2425.435,0.391,2934.958,0.229,1761.073,1.385,2159.018,0.062,2184.067,0.037,1910.556,0.37,2274.079,0.137,1975.606,0.47,2532.796,0.337,2160.691,0.037,1765.889,0.312,2178.64,0.358,2546.349,0.05,2466.917
29,0.216,3026.731,0.058,2849.072,0.957,2789.391,0.075,2549.556,0.037,3095.667,1.053,3145.696,0.062,2897.8,0.037,2387.556,0.254,2866.705,0.137,2861.697,0.233,2816.339,0.258,2779.532,0.154,2941.838,0.57,2381.978,0.125,2515.133,0.262,2218.952,5.933,2658.042,0.582,2673.786,0.241,2302.5,0.354,2001.2,0.037,1918.333,0.845,2007.754,1.136,3045.282,0.233,2178.678,0.603,2320.517,0.391,2575.872,0.229,1789.582,1.385,2196.396,0.062,2113.867,0.037,1995.556,0.37,2167.393,0.137,2002.394,0.47,2516.726,0.337,2099.296,0.037,1854.556,0.312,2262.867,0.358,2195.453,0.05,2333.417
30,0.216,2920.192,0.058,2914.857,0.957,2800.2,0.075,2908.611,0.037,3068.667,1.053,3285.336,0.062,2809.533,0.037,2609,0.254,3142.098,0.137,2805.364,0.233,2793.072,0.258,2712.177,0.154,3029.297,0.57,2589.891,0.125,2355.267,0.262,2406.238,5.933,2635.818,0.582,2410.229,0.241,2152.207,0.354,1984.753,0.037,1897.333,0.845,2101.621,1.136,3045.319,0.233,2055.072,0.603,2377.028,0.391,2479.574,0.229,1753.455,1.385,2263.646,0.062,2321.133,0.037,1824.667,0.37,2155.225,0.137,1999.515,0.47,2429.142,0.337,2247.951,0.037,1740,0.312,2053.533,0.358,2251.802,0.05,2317.833
