 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16,Area17,Mean17,Area18,Mean18
29,13.205,2662.729,2.105,3369.417,0.087,2355.238,0.915,2838.959,0.387,2639.118,0.037,3169.889,1.19,2239.843,0.395,2216.453,0.166,2300.225,0.037,2729.333,0.815,2578.888,1.622,2179.703,0.096,2446.087,0.116,2342.607,5.279,2165.448,0.345,2030.157,4.106,2027.584,1.381,1772.524
30,13.205,2636.348,2.105,3480.964,0.087,2171.286,0.915,2716.1,0.387,2530.742,0.037,3072.111,1.19,2289.318,0.395,2209.821,0.166,2213.2,0.037,2806.889,0.815,2507.464,1.622,2169.326,0.096,2171.478,0.116,2310.178,5.279,2113.803,0.345,2026.711,4.106,1977.165,1.381,1619.898
31,13.205,2653.746,2.105,3431.269,0.087,2479.381,0.915,2566.736,0.387,2548.247,0.037,2801,1.19,2286.944,0.395,2217.558,0.166,2280.075,0.037,2889.222,0.815,2358.648,1.622,2134.182,0.096,2121.435,0.116,2369.464,5.279,2112.419,0.345,2048.205,4.106,2014.252,1.381,1583.307
32,13.205,2646.966,2.105,3464.051,0.087,2175.476,0.915,2638.173,0.387,2475.774,0.037,2927.667,1.19,2336.724,0.395,2275.747,0.166,2035.475,0.037,2572.111,0.815,2372.449,1.622,2154.692,0.096,2199.565,0.116,2123.286,5.279,2094.604,0.345,2039.108,4.106,2143.895,1.381,1599.657
33,13.205,2624.328,2.105,3367.411,0.087,2056.333,0.915,2594.964,0.387,2289.903,0.037,3281.444,1.19,2348.252,0.395,2255.547,0.166,2354.925,0.037,2845.889,0.815,2474.699,1.622,2153.626,0.096,2059.565,0.116,1974.5,5.279,2064.673,0.345,2116.566,4.106,2169.365,1.381,1631.633
34,13.205,2689.572,2.105,3341.055,0.087,2297.476,0.915,2595.009,0.387,2206.161,0.037,2754.222,1.19,2340.885,0.395,2202.547,0.166,2247.075,0.037,2640.889,0.815,2324.495,1.622,2112.195,0.096,1930.609,0.116,1940.714,5.279,1983.258,0.345,2050.506,4.106,2261.623,1.381,1685.642
35,13.205,2708.431,2.105,3396.585,0.087,2299.619,0.915,2715.218,0.387,2303.301,0.037,2514.222,1.19,2366.36,0.395,2022.895,0.166,2194.45,0.037,2615.556,0.815,2273.903,1.622,2055.436,0.096,2025.913,0.116,2153.072,5.279,1963.475,0.345,2164.422,4.106,2298.381,1.381,1700.214
36,13.205,2668.452,2.105,3381.17,0.087,2204.81,0.915,2607.755,0.387,2332.602,0.037,3087,1.19,2381.783,0.395,2165.695,0.166,2011.4,0.037,2437.889,0.815,2239.566,1.622,2090.415,0.096,2027.304,0.116,1951.357,5.279,1989.247,0.345,2189.482,4.106,2262.729,1.381,1674.687
37,13.205,2641.537,2.105,3430.976,0.087,2087.524,0.915,2893.604,0.387,2281.591,0.037,2749.778,1.19,2338.021,0.395,1910.168,0.166,2414,0.037,2765.556,0.815,2219.852,1.622,2020.71,0.096,2009.522,0.116,1930.893,5.279,1963.457,0.345,2147.205,4.106,2109.631,1.381,1819.443
38,13.205,2607.699,2.105,3430.957,0.087,2487.048,0.915,2802.955,0.387,2318.989,0.037,2612.889,1.19,2286.371,0.395,1949,0.166,2298.625,0.037,2652.778,0.815,2245.765,1.622,2017.021,0.096,1884.957,0.116,2046.179,5.279,1988.929,0.345,2035.747,4.106,1960.175,1.381,1943.828
39,13.205,2587.337,2.105,3250.751,0.087,2479.381,0.915,2966.15,0.387,2299.667,0.037,2101.778,1.19,2276.846,0.395,1947.126,0.166,2372,0.037,2730.889,0.815,2287.444,1.622,2047.9,0.096,1793.652,0.116,2089.822,5.279,2015.096,0.345,2037.723,4.106,1935.944,1.381,2155.392
40,13.205,2565.138,2.105,3272.573,0.087,2358.524,0.915,2770.332,0.387,2350.753,0.037,2472.222,1.19,2262.262,0.395,1885,0.166,2324.15,0.037,2697.889,0.815,2339.031,1.622,2199.633,0.096,1910.522,0.116,1920.179,5.279,1980.574,0.345,1919.783,4.106,1893.595,1.381,2049.913
41,13.205,2556.642,2.105,3298.53,0.087,2515.619,0.915,2738.482,0.387,2352.226,0.037,2276.556,1.19,2273.976,0.395,1899.589,0.166,2309.225,0.037,2356.444,0.815,2316.367,1.622,2211.062,0.096,1974.87,0.116,2365.857,5.279,1962.496,0.345,1794.157,4.106,1929.505,1.381,2022.352
