 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16
30,0.212,1941.196,0.125,2229.067,0.499,2169.842,0.108,1823.538,0.503,2273.446,0.308,1654.77,0.037,1903.333,0.416,1751.21,0.354,1621.329,0.229,2030.018,1.023,1598.114,0.108,1947.577,0.121,1329.862,0.037,1435.889,0.245,1161.475,0.037,1266.111
31,0.212,2006.392,0.125,2053.333,0.499,2100.025,0.108,2051.692,0.503,2350.62,0.308,1812.419,0.037,1973,0.416,1837.17,0.354,1714.847,0.229,2080.418,1.023,1602.781,0.108,2029.5,0.121,1390.31,0.037,1671.889,0.245,1206.424,0.037,1232.444
32,0.212,1907.275,0.125,2171.967,0.499,2010.192,0.108,1698.231,0.503,2268.421,0.308,1878.757,0.037,1873.667,0.416,1818.05,0.354,1705.447,0.229,2029.146,1.023,1657.041,0.108,2027.154,0.121,1468.172,0.037,1693.667,0.245,1196.441,0.037,1214.667
33,0.212,1946.922,0.125,2127.167,0.499,1983.833,0.108,1900.192,0.503,2214.769,0.308,1807.581,0.037,1905.444,0.416,1876.93,0.354,1820.671,0.229,1965.164,1.023,1633.976,0.108,1991.769,0.121,1441.483,0.037,1562.222,0.245,1210.441,0.037,1272.333
34,0.212,2028.294,0.125,2182.833,0.499,2121.058,0.108,1960.538,0.503,2186.413,0.308,1882.635,0.037,1851.778,0.416,1953.16,0.354,1717.376,0.229,2059.564,1.023,1661.537,0.108,1894.615,0.121,1543.483,0.037,1443.111,0.245,1241.237,0.037,1220.778
35,0.212,1956.667,0.125,2209.433,0.499,2113.292,0.108,1845.154,0.503,2348.628,0.308,1865.581,0.037,1904.444,0.416,1914.55,0.354,1680.647,0.229,2159.2,1.023,1616.191,0.108,1885.615,0.121,1547.207,0.037,1463.667,0.245,1236.424,0.037,1276.889
36,0.212,1921.294,0.125,2220.3,0.499,1946.425,0.108,1751.423,0.503,2103.587,0.308,1743.946,0.037,1846.778,0.416,1962.06,0.354,1603.482,0.229,2120.909,1.023,1632.549,0.108,1859.538,0.121,1652.517,0.037,1400.778,0.245,1238.136,0.037,1187.444
37,0.212,2042.588,0.125,2202.067,0.499,1967.225,0.108,1883.269,0.503,2240.083,0.308,1754.959,0.037,1863.444,0.416,1931.28,0.354,1604.588,0.229,2172.182,1.023,1633.675,0.108,1757.385,0.121,1686,0.037,1533,0.245,1238.051,0.037,1247.667
38,0.212,2048.686,0.125,2181.133,0.499,2070.983,0.108,1934.385,0.503,2251.446,0.308,1556.743,0.037,1720.667,0.416,1932.56,0.354,1552.588,0.229,2120.873,1.023,1615.175,0.108,1759.346,0.121,1523.069,0.037,1375.667,0.245,1235.373,0.037,1258.778
39,0.212,2116.627,0.125,1898,0.499,1982.317,0.108,1920.962,0.503,2191.512,0.308,1770.23,0.037,1614.111,0.416,1975.97,0.354,1673.106,0.229,2077.673,1.023,1560.894,0.108,1746.692,0.121,1487.552,0.037,1338.111,0.245,1293.746,0.037,1239.111
40,0.212,2023.275,0.125,1952.133,0.499,2050.133,0.108,1945.808,0.503,2113.025,0.308,1718.189,0.037,1863,0.416,1950.93,0.354,1669.224,0.229,1941.182,1.023,1581.35,0.108,1894.769,0.121,1552.828,0.037,1497.778,0.245,1286.237,0.037,1281.778
41,0.212,1992,0.125,1967.467,0.499,1966.883,0.108,1979.615,0.503,2196.248,0.308,1528.514,0.037,2096.333,0.416,1828.25,0.354,1670.718,0.229,2009.927,1.023,1588.293,0.108,1904,0.121,1411.793,0.037,1331.556,0.245,1292.508,0.037,1310.333
